,0
four_view_resnet.mlo.layer_list.1.1.bn1.weight,0.9994262201134572
four_view_resnet.mlo.layer_list.1.1.bn1.bias,0.9994380843034409
four_view_resnet.mlo.layer_list.1.1.conv1.weight,0.9998491566245216
four_view_resnet.mlo.layer_list.1.1.bn2.weight,0.9996854850964013
four_view_resnet.mlo.layer_list.1.1.bn2.bias,0.9994836633096609
four_view_resnet.mlo.layer_list.1.1.conv2.weight,0.9998283525839269
four_view_resnet.mlo.layer_list.2.0.bn1.weight,0.999609905345123
four_view_resnet.mlo.layer_list.2.0.bn1.bias,0.9992938264542311
four_view_resnet.mlo.layer_list.2.0.conv1.weight,0.9997505946312264
four_view_resnet.mlo.layer_list.2.0.bn2.weight,0.9997826300209813
four_view_resnet.mlo.layer_list.2.0.bn2.bias,0.9993715966872659
four_view_resnet.mlo.layer_list.2.0.conv2.weight,0.9996671864701411
four_view_resnet.mlo.layer_list.2.0.downsample.0.weight,0.9999665197761964
four_view_resnet.mlo.layer_list.2.1.bn1.weight,0.9998521919077699
four_view_resnet.mlo.layer_list.2.1.bn1.bias,0.9993223210359644
four_view_resnet.mlo.layer_list.2.1.conv1.weight,0.9995173400803996
four_view_resnet.mlo.layer_list.2.1.bn2.weight,0.9999527133345351
four_view_resnet.mlo.layer_list.2.1.bn2.bias,0.9988538278526428
four_view_resnet.mlo.layer_list.2.1.conv2.weight,0.9996287644143445
four_view_resnet.mlo.layer_list.3.0.bn1.weight,0.9998668190038311
four_view_resnet.mlo.layer_list.3.0.bn1.bias,0.9990987135179933
four_view_resnet.mlo.layer_list.3.0.conv1.weight,0.9995108581481849
four_view_resnet.mlo.layer_list.3.0.bn2.weight,0.9999547774810447
four_view_resnet.mlo.layer_list.3.0.bn2.bias,0.999165641020374
four_view_resnet.mlo.layer_list.3.0.conv2.weight,0.9992541233973568
four_view_resnet.mlo.layer_list.3.0.downsample.0.weight,0.9999471290879314
four_view_resnet.mlo.layer_list.3.1.bn1.weight,0.9999511702963303
four_view_resnet.mlo.layer_list.3.1.bn1.bias,0.9986483519646082
four_view_resnet.mlo.layer_list.3.1.conv1.weight,0.9989417831319591
four_view_resnet.mlo.layer_list.3.1.bn2.weight,0.9999745790007051
four_view_resnet.mlo.layer_list.3.1.bn2.bias,0.9989238679704118
four_view_resnet.mlo.layer_list.3.1.conv2.weight,0.9991140661593669
four_view_resnet.mlo.layer_list.4.0.bn1.weight,0.9999725953203579
four_view_resnet.mlo.layer_list.4.0.bn1.bias,0.999629365864573
four_view_resnet.mlo.layer_list.4.0.conv1.weight,0.9986719474200433
four_view_resnet.mlo.layer_list.4.0.bn2.weight,0.9999901891195665
four_view_resnet.mlo.layer_list.4.0.bn2.bias,0.9995768040057713
four_view_resnet.mlo.layer_list.4.0.conv2.weight,0.9977927134631526
four_view_resnet.mlo.layer_list.4.0.downsample.0.weight,0.9997821492224466
four_view_resnet.mlo.layer_list.4.1.bn1.weight,0.9999839898311708
four_view_resnet.mlo.layer_list.4.1.bn1.bias,0.9996619827025394
four_view_resnet.mlo.layer_list.4.1.conv1.weight,0.9975934875174189
four_view_resnet.mlo.layer_list.4.1.bn2.weight,0.9999856235825932
four_view_resnet.mlo.layer_list.4.1.bn2.bias,0.9996663140664593
four_view_resnet.mlo.layer_list.4.1.conv2.weight,0.9961965699810676
four_view_resnet.mlo.final_bn.weight,0.9996717369104233
four_view_resnet.mlo.final_bn.bias,0.9994909792748455
fc1_cc.weight,0.9996251570654122
fc1_cc.bias,0.9103256101529912
fc1_mlo.weight,0.9995827606920846
fc1_mlo.bias,0.8835713541211071
output_layer_cc.fc_layer.weight,0.9996842534311351
output_layer_cc.fc_layer.bias,0.9504497794161927
output_layer_mlo.fc_layer.weight,0.9996515668598298
output_layer_mlo.fc_layer.bias,0.9466729233569366
